place,type_of_meteorite,mass_g,year,cartodb_id,year_date,longitude,latitude
Lake Labyrinth,LL6,25850,1924,684,01.01.1924 00:00,"134,75","-30,53333"
Beaver,L5,25628,1940,685,01.01.1940 00:00,"-100,53333","36,8"
LoV 003,H5,25450,2011,686,01.01.2011 00:00,"-69,76667","-24,68333"
Desuri,H6,25400,1962,687,01.01.1962 00:00,"73,61667","25,73333"
St-Robert,H5,25400,1994,688,01.01.1994 00:00,"-72,97806","45,96861"
Y-791717,CO3.3,25322,1979,689,01.01.1979 00:00,"35,66667","-71,5"
Belmont,H6,25300,1958,690,01.01.1958 00:00,"-90,35","42,73333"
Juromenha,"Iron, IIIAB",25250,1968,691,01.01.1968 00:00,"-7,27","38,74028"
GRA 95200,L5,25066,1995,692,01.01.1995 00:00,"-141,5","-86,71667"
SaU 266,H5,25014,2002,693,01.01.2002 00:00,"57,18317","20,70713"
Wold Cottage,L6,25000,1795,694,1795-01-01 00:00:00,"-0,41333","54,13667"
Cabezo de Mayo,L/LL6,25000,1870,695,1870-01-01 00:00:00,"-1,16667","37,98333"
Four Corners,"Iron, IAB-ung",25000,1924,696,01.01.1924 00:00,"-109,05",37
Taiban,L5,25000,1934,697,01.01.1934 00:00,"-104,01667","34,45"
Nashville (stone),L6,25000,1939,698,01.01.1939 00:00,"-98,41667","37,45"
Bursa,L6,25000,1946,699,01.01.1946 00:00,"29,23333","40,2"
Casimiro de Abreu,"Iron, IIIAB",25000,1947,700,01.01.1947 00:00,"-42,21667","-22,46667"
Camel Donga,Eucrite-mmict,25000,1984,701,01.01.1984 00:00,"126,61667","-30,31667"
Pampa (c),L4,25000,1986,702,01.01.1986 00:00,"-70,43333","-23,2"
Bilanga,Diogenite,25000,1999,703,01.01.1999 00:00,"-0,08333","12,45"
Dho 379,L6,25000,2000,704,01.01.2000 00:00,"54,76913","19,0084"
Benguerir,LL6,25000,2004,705,01.01.2004 00:00,"-8,15","32,25"
Dho 1722,H5,25000,2010,706,01.01.2010 00:00,"54,71472","19,08188"
Meester-Cornelis,H5,24750,1915,709,01.01.1915 00:00,"106,88333","-6,23333"
Rasgrad,Stone-uncl,24700,1740,710,1740-01-01 00:00:00,"26,53333","43,5"
Oroville,"Iron, IIIAB",24500,1893,711,1893-01-01 00:00:00,"-121,63333","39,68333"
Billings,"Iron, IIIAB",24500,1903,712,01.01.1903 00:00,"-93,55","37,06667"
Salaices,H4,24500,1971,713,01.01.1971 00:00,"-105,25",27
Taoudenni,Diogenite,24370,2007,714,01.01.2007 00:00,"-3,96667","22,79167"
Veliko-Nikolaevsky Priisk,"Iron, IIIAB",24267,1902,715,01.01.1902 00:00,"97,33333","53,83333"
Hammond,"Iron, ungrouped",24000,1884,716,1884-01-01 00:00:00,"-92,43333","44,91667"
A��r,L6,24000,1925,717,01.01.1925 00:00,"8,38333","19,08333"
Winona,Winonaite,24000,1928,718,01.01.1928 00:00,"-111,4","35,2"
Cleo Springs,H4,24000,1960,719,01.01.1960 00:00,"-98,43333","36,43333"
Galatia,L6,23900,1971,720,01.01.1971 00:00,"-98,88333","38,64167"
Campos Sales,L5,23680,1991,721,01.01.1991 00:00,"-40,16667","-7,03333"
Wayside,H6,23600,1973,722,01.01.1973 00:00,"-101,68333","34,80167"
Cachari,Eucrite-mmict,23500,1916,723,01.01.1916 00:00,"-59,5","-36,4"
Perpeti,L6,23474,1935,724,01.01.1935 00:00,91,"23,325"
